username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
zocoup,ZocoUp.Marketplace,https://twitter.com/zocoup/status/1303024741779935233,"""#BUDA SILVER #escayola Técnica",2020-09-07 10:38:00,,,0,,0,BUDA | escayola,2,,https://pbs.twimg.com/media/EhVGGLUXYAIWr1c.jpg
teatroateatro,Teatro a Teatro,https://twitter.com/TeatroaTeatro/status/1301075108270927873,"""SEDA",2020-09-02 01:30:00,6,3,0,,0,,0,,https://pbs.twimg.com/media/Eg5WH1iWAAASU8H.jpg
palomitasconger,Palomitas Con Ger,https://twitter.com/PalomitasconGEr/status/1302169653230305280,"""Silk/Seda podría tener cabida en el universo de películas de Sony Pictures. Están valorando hacer una serie de acción real de la joven spidergirl del multiverso arácnido. Podría ser llevada a cabo por Amazon; según rumores.

#Silk #Seda #MultiversoAracnido #SonyPictures #Amazon… https",2020-09-05 02:00:00,,,0,,0,Silk | Seda | MultiversoAracn | SonyPictures | Amazon,5,,https://pbs.twimg.com/media/EhI8ZkSXgAEbW3t.jpg
gredaelli,GIORGIO REDAELLI,https://twitter.com/GRedaelli/status/1300541277642072064,"""Pensá en un color para tu #outfit...si, lo tenemos!! 🔥

Más de 600 modelos distintos de camisas de puro algodón italiano 🇮🇹
Qué esperas para conocernos?! 

#GiorgioRedaelli 👔

https",2020-08-31 14:09:00,,,0,,0,outfit | GiorgioRedaelli,2,,https://pbs.twimg.com/media/EgxzYufXsAIahCK.jpg
celipizan,celipizan,https://twitter.com/celipizan/status/1302651021139742720,"""El verde menta vuelve a ser el color estrella del street style  .

#camisasmujer #charmiuse #seda #readytowear #celipizan https",2020-09-06 09:53:00,,,0,,0,camisasmujer | charmiuse | seda | readytowear | celipizan,5,,
museoseda,Museo de la Seda,https://twitter.com/MuseoSeda/status/1301435472703561729,"""Ha llegado #septiembre y, con él, los primeros frescos. En nuestra tienda encontrarás los pañuelos de #seda más bonitos, ¿cuál te gusta más? 🤩
➡️ Horario de la tienda",2020-09-03 01:22:00,6,,0,,0,septiembre | seda,2,,https://pbs.twimg.com/media/Eg-gqE6WAAICp7-.jpg | https://pbs.twimg.com/media/Eg-gqE9XYAAGenb.jpg | https://pbs.twimg.com/media/Eg-gqE8XcAA1ELi.jpg | https://pbs.twimg.com/media/Eg-gqFNWkAE9gUE.jpg
,,https://twitter.com/efsaneadam1907/status/1302546504347979781,"""Her türlü sıkıntıdan uzak, huzurun gölgesinde geçireceğiniz kıymetli günlerin ömrünüze yayılması dileğiyle Hayırlı Günler Hayırlı Pazarlar 
#SEDA #HANIM… https",2020-09-06 02:57:00,2,,1,,0,SEDA | HANIM,2,,
gomachan8663,ゴマフアザラシ,https://twitter.com/gomachan8663/status/1300232396210491392,"""📅2015年1月7日(水)

『｢SEDA 2月号(連載 ぱるる服装学院vol.6)｣発売日』

パパの作業着😂

#島崎遥香
#ぱるる 
#SEDA 
#ぱるる服装学院 

▼ぱるる新規FC入会のご案内▼
2020年8月中に入会&1年間会員を継続で｢ぱるるの866問｣冊子プレゼント🎁
https",2020-08-30 17:42:00,9,,0,,0,島崎遥香 | ぱるる | SEDA | ぱるる服装学院,4,,https://pbs.twimg.com/media/EgtaeT1U8AEXrB9.jpg
,,https://twitter.com/jssvgs/status/1302568818385055744,"""#Seda… """,2020-09-06 04:26:00,,,0,,0,Seda,1,,https://pbs.twimg.com/media/EhOnbpDXcAIXHzJ.jpg
deedee8586,S. Boudaud,https://twitter.com/deedee8586/status/1302894810840346627,"""Help #earchivistes et pro du #SEDA",2020-09-07 02:01:00,2,,1,,0,earchivistes | SEDA,2,,
